Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	
ENSG00000272783	8	0	3	3	8	0	14	3	0	0	0
ENSG00000237138	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237139	0	0	0	0	9	0	2	0	0	0	16
ENSG00000277550	3	0	0	0	9	3	3	0	0	9	0
ENSG00000273032	0	0	14	3	22	0	3	3	0	0	22
ENSG00000277552	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141232	535	313	2251	1458	2247	844	4651	461	568	338	916
ENSG00000277554	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277555	0	0	3	4	9	0	0	0	3	0	11
ENSG00000277556	0	0	0	0	15	0	0	0	2	0	5
ENSG00000277557	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277558	6	0	17	3	0	11	17	1	6	2	6
ENSG00000277559	5	3	18	9	23	6	23	10	0	3	75
ENSG00000172671	134	116	275	380	403	255	1467	167	120	118	341
ENSG00000274098	1	0	0	7	15	0	1	1	2	0	7
ENSG00000274099	4	0	3	6	14	5	9	2	6	9	3
ENSG00000279068	3	0	0	7	3	0	0	4	8	2	6
ENSG00000236428	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223766	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223767	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	3	6	17	22	16	27	99	30	22	14	124
ENSG00000223765	0	0	0	0	3	0	0	0	0	0	0
ENSG00000279062	0	0	0	0	3	0	1	1	1	0	2
ENSG00000274091	0	1	1	0	1	1	1	0	1	0	1
ENSG00000279060	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279061	0	0	0	0	3	0	0	0	3	0	0
ENSG00000274094	1	0	0	3	1	1	1	1	1	0	1
ENSG00000279067	6	6	8	19	19	8	13	6	6	0	18
ENSG00000236425	0	0	0	0	0	0	3	0	0	0	0
ENSG00000279065	0	0	0	0	19	0	0	0	7	3	0
ENSG00000136750	0	0	0	0	44	0	0	0	6	17	17
ENSG00000270789	4	2	11	13	18	4	21	5	5	5	18
ENSG00000136754	549	311	1466	2024	1650	1133	4584	941	359	410	1004
ENSG00000207648	0	1	0	0	0	0	1	0	0	0	0
ENSG00000136758	1463	921	2856	5295	2042	2720	10483	1621	764	1079	1472
ENSG00000270781	0	0	0	0	5	2	2	0	0	0	7
ENSG00000270782	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270783	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232508	0	0	0	0	6	0	0	0	0	0	6
ENSG00000232500	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232502	0	0	0	0	0	0	5	0	0	0	0
ENSG00000232503	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232504	0	0	0	26	11	0	12	0	0	0	22
ENSG00000232505	0	0	0	0	7	0	0	0	5	0	0
ENSG00000249087	65	32	161	203	116	84	361	85	63	51	218
ENSG00000116014	0	0	0	0	0	0	11	0	0	0	0
ENSG00000116017	105	90	176	438	159	262	585	130	96	86	144
ENSG00000116016	10733	4896	9002	33817	6295	13981	25082	4014	7843	6817	1897
ENSG00000249082	0	0	0	0	0	0	5	0	0	0	0
ENSG00000249081	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234034	0	0	0	0	10	0	0	0	0	0	0
ENSG00000249089	3	0	7	7	6	3	13	7	4	3	7
ENSG00000250567	0	0	6	0	0	0	0	0	0	0	0
ENSG00000201707	0	0	0	0	3	0	0	0	0	0	0
ENSG00000234033	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146676	1174	1152	4010	4023	3351	2355	7832	2025	681	791	2346
ENSG00000242860	1	0	13	6	10	0	20	3	5	0	13
ENSG00000197674	0	0	0	0	9	0	6	0	0	3	0
ENSG00000201708	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234030	0	0	0	0	2	0	0	0	3	3	7
ENSG00000242861	21	2	51	67	100	42	100	35	24	14	151
ENSG00000201704	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120440	0	0	0	0	22	0	0	0	0	0	0
ENSG00000201700	3	2	4	4	4	2	4	1	0	0	11
ENSG00000201701	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274458	0	0	0	0	2	0	0	0	0	0	0
ENSG00000249156	0	0	0	0	3	0	0	0	3	0	0
ENSG00000250560	0	0	0	0	0	0	0	0	0	0	6
ENSG00000274459	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180211	217	110	383	694	313	235	1364	303	119	142	162
ENSG00000271259	0	3	8	17	22	4	23	6	6	3	20
ENSG00000187244	753	392	1394	2979	1056	1056	11292	635	848	609	1932
ENSG00000276209	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276208	0	0	0	0	3	0	0	0	3	0	0
ENSG00000271255	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276206	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271257	0	0	0	0	6	0	0	0	0	0	0
ENSG00000276204	0	0	0	0	5	0	0	0	0	0	2
ENSG00000276203	19	2	29	13	108	6	47	12	20	12	23
ENSG00000271250	0	0	0	0	0	0	0	0	0	0	3
ENSG00000223867	0	0	3	0	3	0	0	3	0	0	0
ENSG00000276200	6	0	3	3	9	0	6	0	0	3	0
ENSG00000270124	0	4	12	31	31	23	42	0	20	0	58
ENSG00000197110	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270120	0	0	3	6	24	0	6	3	0	0	0
ENSG00000270123	0	0	0	0	0	0	0	0	0	0	0
ENSG00000174099	555	1148	2740	6805	306	526	6931	1231	700	1419	455
ENSG00000224230	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224233	0	0	0	0	19	0	0	0	8	0	0
ENSG00000235199	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224235	0	0	0	0	15	0	0	0	0	0	0
ENSG00000224234	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224237	5	0	12	0	6	0	9	0	6	2	0
ENSG00000224236	0	0	0	3	44	4	6	0	10	0	3
ENSG00000224239	0	0	0	0	9	0	0	0	0	0	0
ENSG00000264652	1	1	1	1	1	1	1	1	1	1	1
ENSG00000235190	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137404	14	15	85	119	27	78	344	54	27	32	70
ENSG00000137403	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235197	0	0	0	10	34	0	14	3	0	0	3
ENSG00000264655	0	0	0	0	6	3	0	0	0	3	6
ENSG00000235195	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275574	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275575	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275576	5	1	6	12	21	7	12	4	3	2	21
ENSG00000275577	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275570	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275571	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275572	0	0	0	0	0	0	0	0	0	0	13
ENSG00000162840	8	8	14	3	0	14	44	6	19	14	16
ENSG00000060138	1065	499	1790	2716	2524	1324	3609	881	2064	793	1474
ENSG00000253570	3	9	11	71	33	15	115	0	5	9	11
ENSG00000275578	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275579	0	0	0	0	0	0	0	0	0	0	0
ENSG00000044012	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231857	0	0	7	11	16	0	0	0	8	0	0
ENSG00000231856	45	19	75	99	101	44	228	40	62	19	46
ENSG00000175946	0	0	0	0	21	13	19	0	0	0	0
ENSG00000231854	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231852	0	0	3	29	52	6	70	3	15	26	41
ENSG00000231851	0	0	9	0	0	0	0	0	0	0	0
ENSG00000061918	199	189	558	723	528	534	2457	310	132	187	145
ENSG00000130751	0	0	0	0	0	0	31	0	0	0	11
ENSG00000180818	0	0	43	16	115	25	764	18	14	6	56
ENSG00000231859	0	1	4	0	13	3	12	0	2	0	10
ENSG00000130755	160	84	311	665	187	272	600	312	57	120	85
ENSG00000233437	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186115	0	0	0	0	5	0	0	0	0	0	0
ENSG00000197670	12	5	64	39	38	24	139	19	29	22	138
ENSG00000110756	528	227	937	1016	1496	813	2450	609	215	264	1320
ENSG00000248840	0	0	5	3	5	1	11	0	17	1	18
ENSG00000248842	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248843	0	0	11	3	5	3	14	3	0	0	8
ENSG00000248844	0	0	0	0	54	5	11	0	0	0	122
ENSG00000248846	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253572	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248848	0	0	0	0	17	0	0	0	3	0	0
ENSG00000134278	527	183	989	652	1222	468	2180	545	369	350	503
ENSG00000202474	0	0	3	2	0	0	1	0	0	0	1
ENSG00000264233	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230812	0	0	0	0	14	0	0	6	0	0	0
ENSG00000230813	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230814	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266312	0	0	0	0	3	0	0	0	0	0	0
ENSG00000230816	0	0	0	0	0	0	0	0	0	0	0
ENSG00000064726	908	655	1651	2881	1654	1508	5473	1220	425	643	482
ENSG00000230818	0	0	3	3	18	8	8	0	5	9	8
ENSG00000230819	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217791	0	0	3	3	11	3	3	0	3	0	0
ENSG00000072506	262	147	546	953	274	367	2045	312	204	267	154
ENSG00000072501	1123	532	1655	3408	1812	2116	5807	931	1013	854	1785
ENSG00000134183	0	0	0	0	0	0	0	0	0	0	1
ENSG00000069712	258	114	325	795	706	381	834	194	213	162	311
ENSG00000270587	2	3	3	9	3	8	16	3	0	0	7
ENSG00000134186	192	84	357	714	844	347	1107	352	160	179	694
ENSG00000134184	18	149	32	72	51	21	95	37	22	136	78
ENSG00000227224	0	0	0	0	4	0	0	0	0	0	0
ENSG00000262710	0	0	0	0	0	0	0	0	0	0	0
ENSG00000262712	0	0	4	8	6	12	18	8	3	0	38
ENSG00000262714	3	3	22	0	32	0	40	3	17	0	11
ENSG00000248211	0	0	0	0	5	0	0	0	0	0	0
ENSG00000280001	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259832	0	0	3	2	0	0	2	0	3	0	0
ENSG00000248213	8	6	18	34	25	22	35	15	11	2	109
ENSG00000037042	191	80	347	648	434	317	1030	278	204	155	624
ENSG00000260622	0	0	0	0	0	0	0	8	0	3	0
ENSG00000260620	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260621	6	5	8	4	18	0	11	0	0	3	16
ENSG00000260626	0	0	0	0	0	0	0	0	0	0	0
ENSG00000078487	36	11	113	214	134	80	370	41	63	25	169
ENSG00000260625	0	0	14	14	0	0	48	8	6	0	21
ENSG00000248215	0	0	0	0	19	0	0	0	0	0	0
ENSG00000260628	3	0	0	0	0	0	33	0	0	0	0
ENSG00000260629	0	0	0	0	17	0	0	0	0	0	0
ENSG00000042753	184	133	435	606	184	288	2098	398	164	157	100
ENSG00000196096	0	0	6	0	29	0	6	0	0	0	0
ENSG00000248216	8	9	11	37	35	5	37	6	16	11	28
ENSG00000105855	237	113	1620	335	4334	142	553	420	136	216	3895
ENSG00000105854	472	296	775	1305	880	753	2437	460	258	404	805
ENSG00000111481	550	339	1382	2078	1462	742	7752	830	435	468	274
ENSG00000105856	1449	915	3108	5228	3006	2163	8154	1889	696	1040	1780
ENSG00000105851	154	94	298	681	532	400	1590	313	38	106	173
ENSG00000079689	8	0	9	8	11	0	35	6	0	11	0
ENSG00000105852	14	13	289	75	295	54	747	82	28	18	127
ENSG00000142252	37	35	106	95	82	73	472	96	25	43	125
ENSG00000012174	275	135	546	943	652	446	1705	350	157	197	324
ENSG00000131002	0	0	0	3	0	0	3	0	0	0	6
ENSG00000012171	157	123	352	1285	104	171	515	178	271	251	355
ENSG00000220447	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131007	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135587	21	9	89	135	144	42	530	101	32	61	236
ENSG00000221310	0	0	0	0	1	0	0	0	0	1	0
ENSG00000221313	0	0	0	0	3	0	0	0	0	0	0
ENSG00000221312	0	0	0	0	2	0	0	0	0	1	0
ENSG00000214111	0	0	0	0	3	0	0	0	0	0	0
ENSG00000221317	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221316	0	0	0	0	2	0	0	0	0	0	0
ENSG00000221319	0	0	0	1	2	2	3	1	0	0	1
ENSG00000257022	4	0	0	0	31	0	0	5	0	0	0
ENSG00000214110	150	59	206	301	178	187	594	126	80	106	132
ENSG00000196098	0	0	0	3	14	0	0	0	3	0	0
ENSG00000071082	2775	2001	12134	10698	7759	4956	29522	10011	1737	2195	4000
ENSG00000124490	0	0	9	0	11	0	11	0	0	0	0
ENSG00000139780	0	0	5	14	8	6	13	0	0	0	6
ENSG00000180660	79	59	132	232	250	86	163	73	76	57	160
ENSG00000135638	0	3	15	19	8	3	54	17	9	6	41
ENSG00000180662	0	0	20	6	9	6	24	1	0	0	33
ENSG00000180667	180	139	464	819	714	533	2100	311	132	163	337
ENSG00000188419	431	318	958	1691	1069	981	3769	667	350	294	571
ENSG00000135632	105	54	268	470	379	303	1062	178	155	151	316
ENSG00000135631	345	169	507	936	571	488	1862	261	257	234	467
ENSG00000135636	493	258	478	1835	392	1018	2605	446	385	410	384
ENSG00000135637	44	15	140	156	77	81	245	107	62	56	400
ENSG00000210195	126	48	305	278	756	112	445	207	172	152	233
ENSG00000147155	71	51	220	310	63	104	594	206	48	89	133
ENSG00000263447	0	0	0	0	3	0	0	0	0	0	0
ENSG00000263445	0	0	0	0	0	0	0	0	0	0	0
ENSG00000112539	0	0	0	0	5	0	0	0	0	0	0
ENSG00000263443	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263442	0	0	0	0	0	0	0	0	0	0	0
ENSG00000114503	517	282	1086	1805	464	1027	3312	615	320	363	602
ENSG00000258629	0	0	0	0	19	0	0	0	3	3	6
ENSG00000184992	160	106	592	590	345	376	2271	265	187	175	295
ENSG00000263449	0	0	0	0	0	0	2	0	0	0	0
ENSG00000116670	42	33	127	266	144	87	600	93	68	69	168
ENSG00000259767	3	8	12	6	13	6	7	7	3	8	13
ENSG00000224296	0	0	0	0	0	0	0	0	3	0	0
ENSG00000115677	5037	3087	8249	18546	8337	7621	26569	4170	3755	3695	4370
ENSG00000259763	4	6	8	13	12	3	17	0	0	0	7
ENSG00000259762	5	0	13	0	0	0	0	0	4	0	0
ENSG00000259761	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259760	0	0	0	0	0	0	4	14	0	0	0
ENSG00000259769	0	0	0	0	18	0	0	0	0	0	0
ENSG00000259768	32	9	68	136	199	62	144	48	29	32	197
ENSG00000261971	44	0	61	102	120	32	240	39	40	27	324
ENSG00000250038	0	0	0	0	16	0	0	0	0	0	0
ENSG00000261972	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258624	0	0	0	0	9	0	0	0	0	0	0
ENSG00000261978	1	0	5	5	6	1	11	0	3	0	14
ENSG00000258627	0	0	0	0	2	0	0	0	0	0	0
ENSG00000116852	32	19	74	181	172	89	315	37	42	32	139
ENSG00000276474	0	0	0	0	3	0	0	0	3	0	0
ENSG00000226284	10	5	15	9	31	13	32	10	9	3	31
ENSG00000267594	0	4	12	46	6	0	17	8	0	0	0
ENSG00000267597	0	0	3	0	3	0	0	0	0	0	2
ENSG00000162592	0	0	0	0	5	0	0	0	0	0	0
ENSG00000263199	0	0	0	0	3	0	0	0	0	0	0
ENSG00000263198	2	0	3	7	11	4	1	3	3	2	13
ENSG00000219747	5	0	18	18	8	14	41	7	8	8	4
ENSG00000162591	232	93	706	735	329	217	2679	381	399	213	1718
ENSG00000125255	0	0	0	0	24	0	0	0	6	0	0
ENSG00000227258	0	0	12	6	23	6	136	0	14	0	0
ENSG00000227259	0	0	0	0	0	0	6	0	0	0	0
ENSG00000227256	0	0	8	6	0	0	6	0	0	0	8
ENSG00000227257	1	3	6	2	7	2	3	0	0	2	8
ENSG00000227254	0	0	0	0	8	0	0	3	0	0	0
ENSG00000227255	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227252	14	11	19	42	69	0	72	6	11	0	78
ENSG00000227253	0	0	19	6	35	4	35	4	0	0	6
ENSG00000267734	0	5	10	34	21	5	25	8	0	0	22
ENSG00000105143	0	0	0	0	6	0	0	0	0	0	0
ENSG00000267639	4	1	13	15	22	5	23	7	6	3	52
ENSG00000105141	0	0	0	0	13	0	0	0	3	3	6
ENSG00000105146	0	0	23	20	7	0	30	0	0	0	40
ENSG00000267630	0	0	0	0	11	0	0	0	0	0	6
ENSG00000267631	0	0	0	0	2	0	1	0	0	0	5
ENSG00000267632	23	12	54	60	88	36	93	47	53	14	146
ENSG00000267633	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267634	0	3	0	0	0	0	0	0	0	0	0
ENSG00000267635	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267636	0	0	0	0	0	0	0	0	0	0	0
ENSG00000267637	0	0	8	5	8	1	16	2	2	2	0
ENSG00000186543	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235949	0	0	0	0	0	0	34	0	0	0	0
ENSG00000235941	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235940	1	0	13	2	11	0	2	0	2	0	21
ENSG00000235943	0	0	0	0	0	0	0	0	0	0	5
ENSG00000235942	0	0	0	0	9	0	0	0	0	0	0
ENSG00000146205	10	6	27	36	31	11	191	12	17	0	63
ENSG00000235944	0	0	17	57	38	16	122	16	5	0	95
ENSG00000235947	33	0	126	16	136	20	475	33	33	0	249
ENSG00000235946	2	3	0	3	1	3	1	0	0	3	7
ENSG00000164418	0	0	19	8	111	7	42	0	11	9	36
ENSG00000222158	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222152	0	0	2	0	0	0	3	0	0	0	0
ENSG00000164411	0	0	24	17	41	6	46	4	9	0	32
ENSG00000222150	0	0	0	0	3	0	0	0	2	0	0
ENSG00000164414	101	137	616	292	701	472	2388	398	92	98	375
ENSG00000280163	14	9	44	56	35	11	49	14	11	3	105
ENSG00000222154	0	0	0	0	3	0	0	0	2	0	0
ENSG00000202227	2	1	2	6	6	0	5	2	0	1	5
ENSG00000255776	3	0	3	14	23	9	17	6	8	0	1
ENSG00000100532	141	41	385	554	269	261	781	191	66	90	150
ENSG00000198937	25	17	76	79	37	70	288	64	15	11	60
ENSG00000276478	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224547	3	0	0	0	12	0	0	0	7	0	11
ENSG00000206818	0	0	0	0	0	0	0	0	0	0	0
ENSG00000077454	112	21	227	347	218	154	768	160	153	108	658
ENSG00000186265	0	0	19	8	110	14	107	30	11	6	8
ENSG00000273419	69	22	11	99	28	19	74	3	88	33	121
ENSG00000252362	0	0	0	0	0	0	0	0	0	0	0
ENSG00000077458	183	158	519	801	974	457	1781	401	146	165	513
ENSG00000201465	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226285	0	0	3	2	9	0	0	0	0	0	8
ENSG00000224541	3	0	10	8	23	2	14	3	5	3	23
ENSG00000201464	0	0	0	0	1	3	0	0	0	0	0
ENSG00000224540	0	3	0	0	6	0	0	0	0	3	3
ENSG00000201467	0	0	0	0	0	0	3	0	0	0	3
ENSG00000262953	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278447	0	1	0	1	0	0	0	0	1	0	1
ENSG00000212658	0	0	0	0	3	0	0	0	0	0	0
ENSG00000212659	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265908	3	3	6	25	19	19	33	6	3	0	40
ENSG00000169154	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265904	1	1	9	4	5	0	0	0	1	1	4
ENSG00000265905	0	0	0	0	0	0	0	0	0	0	2
ENSG00000152056	14	0	78	29	42	8	236	54	11	0	18
ENSG00000212657	0	0	0	0	3	0	0	0	6	0	0
ENSG00000265902	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265903	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260367	0	0	6	14	0	0	25	0	0	0	0
ENSG00000260366	3	2	3	2	8	3	3	6	5	0	0
ENSG00000273416	0	3	0	0	0	0	9	2	0	3	7
ENSG00000260362	0	0	0	0	0	0	0	0	6	0	0
ENSG00000260361	8	3	26	22	24	11	46	11	22	3	33
ENSG00000280160	0	0	0	76	30	6	26	8	0	0	3
ENSG00000229590	0	0	6	0	3	0	0	0	0	0	9
ENSG00000260369	6	0	6	0	4	0	9	9	8	0	15
ENSG00000273593	0	0	0	0	2	0	0	0	0	0	0
ENSG00000021300	36	0	55	74	236	19	291	56	24	6	203
ENSG00000217026	0	0	6	3	4	3	8	3	3	0	0
ENSG00000217027	11	6	0	15	17	0	3	5	6	3	11
ENSG00000213332	0	0	0	0	2	0	0	0	0	0	0
ENSG00000278440	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261013	0	0	0	0	11	0	0	0	0	0	9
ENSG00000100399	19	11	51	91	40	11	213	30	40	20	95
ENSG00000277271	0	0	0	0	0	0	0	0	0	0	0
ENSG00000209482	0	0	0	6	7	3	5	2	5	3	11
ENSG00000209480	0	0	13	1	1	3	18	8	3	0	1
ENSG00000216378	8	0	3	0	13	0	3	3	3	0	0
ENSG00000100393	2106	1155	3013	5939	4581	3118	10658	1616	1842	1202	3456
ENSG00000213331	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100395	268	137	420	902	645	515	1531	275	194	187	571
ENSG00000200552	0	0	0	1	0	1	1	0	0	0	0
ENSG00000259164	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223208	1	0	1	1	3	1	2	1	1	0	2
ENSG00000223201	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223200	0	0	0	0	2	0	0	0	0	0	0
ENSG00000223203	0	1	2	0	0	0	3	0	0	0	0
ENSG00000223202	3	0	0	0	9	0	0	0	0	0	2
ENSG00000242289	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229596	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232353	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200553	0	0	0	0	3	0	0	0	0	0	0
ENSG00000275208	0	0	0	0	0	0	2	0	3	0	5
ENSG00000275209	74268	86172	12658	4651	7954	24311	10637	16482	110136	93097	90172
ENSG00000213338	0	0	0	3	10	1	0	0	3	0	12
ENSG00000196550	11	7	33	36	40	18	75	7	21	10	36
ENSG00000261019	6	3	17	19	26	8	35	3	11	3	19
ENSG00000196557	131	37	148	605	122	346	1171	47	192	127	313
ENSG00000280165	0	0	0	0	102	109	0	19	0	0	0
ENSG00000264387	0	0	0	0	1	0	0	0	0	0	0
ENSG00000264386	0	0	0	4	6	0	2	0	0	0	1
ENSG00000197208	11	0	69	82	46	39	197	24	34	33	48
ENSG00000275202	0	0	0	14	30	0	76	14	0	0	33
ENSG00000273700	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264388	0	0	0	1	3	0	0	3	3	0	0
ENSG00000239462	0	0	0	0	3	0	0	0	0	0	0
ENSG00000239463	0	0	0	0	0	0	0	0	0	0	0
ENSG00000151292	542	253	1000	1325	1040	804	3287	680	386	490	581
ENSG00000113141	565	364	1154	2557	1214	1192	4265	547	517	505	819
ENSG00000239464	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280164	0	0	21	18	82	16	47	20	3	6	90
ENSG00000217686	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217684	0	3	3	10	4	0	0	0	3	0	1
ENSG00000217680	11	0	0	15	5	9	27	5	3	7	3
ENSG00000222359	1	1	2	1	3	0	1	1	1	0	3
ENSG00000211947	35	6	23	0	193	17	89	109	3	0	24
ENSG00000275205	0	0	0	0	0	0	0	0	0	0	0
ENSG00000026652	183	96	306	517	522	246	996	372	196	130	766
ENSG00000205955	0	0	9	0	9	0	0	0	0	0	19
ENSG00000177971	186	146	436	680	303	346	1992	276	128	124	190
ENSG00000211945	14	0	0	0	100	0	98	20	0	0	15
ENSG00000205959	10	0	28	19	30	16	31	8	43	5	73
ENSG00000185158	89	34	229	320	327	166	494	152	107	15	336
ENSG00000211681	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211682	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211683	0	0	0	0	11	3	0	0	0	0	0
ENSG00000211684	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211685	20	6	0	0	269	3	19	67	0	0	6
ENSG00000211687	0	0	0	1	3	0	2	0	0	0	0
ENSG00000211688	0	0	0	1	4	0	5	1	0	0	0
ENSG00000211689	8	11	29	17	106	32	53	19	13	9	11
ENSG00000185155	0	0	0	0	19	0	0	0	0	0	0
ENSG00000185156	0	0	11	3	14	0	37	0	3	0	38
ENSG00000229567	1	0	0	3	15	0	13	6	2	0	5
ENSG00000229565	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229562	6	3	4	14	18	11	24	9	17	9	0
ENSG00000229563	0	0	0	0	12	0	0	0	0	0	0
ENSG00000229560	0	0	0	0	19	0	0	0	3	0	3
ENSG00000225192	25	6	88	41	138	31	90	38	11	27	79
ENSG00000182545	4	0	2	7	11	0	5	0	1	0	5
ENSG00000255040	57	43	25	191	128	48	60	11	92	33	6
ENSG00000229568	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229569	0	0	0	9	31	0	0	6	9	0	51
ENSG00000213260	37	29	66	108	70	53	212	40	38	36	27
ENSG00000106635	314	261	443	914	190	507	1297	274	345	278	205
ENSG00000106636	419	289	727	1669	468	640	2306	413	278	361	455
ENSG00000207561	3	3	9	9	2	2	21	4	3	4	19
ENSG00000280299	0	0	0	0	0	0	14	0	0	0	37
ENSG00000106631	0	0	8	0	0	0	0	22	16	0	0
ENSG00000106633	0	0	0	0	7	0	16	0	11	0	0
ENSG00000280295	17	14	32	38	80	16	33	24	17	12	86
ENSG00000213269	0	0	0	0	1	0	0	0	3	2	0
ENSG00000280297	0	0	0	3	1	5	0	0	3	0	3
ENSG00000280296	0	0	0	2	44	3	3	0	5	0	8
ENSG00000106638	142	82	457	648	345	369	1340	313	130	199	295
ENSG00000280290	0	0	0	0	0	0	0	0	0	0	0
ENSG00000216085	0	0	0	0	0	0	0	0	0	0	0
ENSG00000216084	0	0	0	0	7	0	0	0	0	0	0
ENSG00000211538	0	0	0	0	4	0	0	0	1	1	0
ENSG00000211532	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211530	5	0	0	0	6	0	0	0	0	0	10
ENSG00000255045	0	0	4	0	0	0	0	0	0	0	0
ENSG00000211534	0	0	0	0	3	0	0	0	0	0	0
ENSG00000211535	0	0	1	0	1	0	1	0	1	0	1
ENSG00000230357	0	0	0	0	0	0	0	0	0	0	0
ENSG00000123584	0	0	0	0	13	0	0	0	0	0	0
ENSG00000260668	0	0	0	0	0	0	32	0	0	0	0
ENSG00000239626	8	6	34	22	65	2	20	0	1	9	23
ENSG00000206812	0	0	0	0	3	0	0	0	1	0	0
ENSG00000152670	0	0	0	3	29	0	6	0	8	3	10
ENSG00000152672	16	6	37	75	131	19	81	24	17	6	258
ENSG00000238738	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225198	0	0	0	0	5	0	0	0	0	0	0
ENSG00000238731	0	0	2	0	0	0	2	0	0	0	0
ENSG00000238730	0	0	0	0	0	0	0	0	0	0	4
ENSG00000238735	0	1	0	0	6	4	4	3	0	0	0
ENSG00000238737	0	1	0	1	1	0	1	0	1	0	1
ENSG00000143643	149	70	310	523	444	239	834	202	145	144	350
ENSG00000124588	494	237	764	1450	651	579	1110	533	343	417	462
ENSG00000143641	725	338	939	2355	734	1181	4669	557	631	506	657
ENSG00000124587	102	166	386	569	687	315	1860	120	164	143	530
