Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	
ENSG00000225109	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270593	0	0	0	0	0	0	1	0	0	0	0
ENSG00000225100	0	0	0	0	0	0	3	0	0	0	0
ENSG00000225101	7	2	0	0	23	0	3	3	3	0	0
ENSG00000225102	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233579	11	0	11	26	17	6	19	11	13	3	96
ENSG00000225105	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225106	0	0	0	0	0	0	3	0	0	0	0
ENSG00000225107	0	0	0	0	7	0	0	0	6	0	0
ENSG00000221489	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221488	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226455	0	0	0	0	2	0	6	5	0	0	0
ENSG00000226454	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149792	316	106	635	877	497	430	3003	442	205	194	299
ENSG00000226450	0	0	7	12	34	0	0	0	0	0	76
ENSG00000141854	6	16	63	27	40	23	322	11	8	12	54
ENSG00000221484	0	0	3	0	3	0	0	0	0	1	0
ENSG00000149798	198	203	343	1147	213	544	1146	177	487	290	150
ENSG00000221486	1	1	2	4	0	0	3	5	1	0	2
ENSG00000212153	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183055	28	15	45	55	54	35	82	75	29	13	251
ENSG00000183054	757	303	1174	1934	2080	870	2605	687	655	456	1710
ENSG00000255076	0	0	0	0	2	0	0	0	0	0	6
ENSG00000251078	0	0	0	0	7	0	1	0	0	0	0
ENSG00000221628	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250566	0	0	0	0	14	0	0	0	0	0	0
ENSG00000273424	0	3	6	24	15	9	9	6	9	0	9
ENSG00000250564	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250565	45	66	100	145	180	108	307	82	63	63	178
ENSG00000250562	0	0	0	0	1	0	0	0	0	0	1
ENSG00000250563	0	0	0	0	11	0	0	0	0	0	0
ENSG00000187961	24	3	37	56	50	17	184	16	20	8	149
ENSG00000250561	0	0	0	0	11	0	0	0	0	0	6
ENSG00000250568	6	3	20	7	25	10	36	25	12	8	20
ENSG00000250569	11	0	49	55	50	40	88	36	27	17	106
ENSG00000220685	3	0	6	6	17	3	4	6	6	3	11
ENSG00000162843	0	0	0	0	13	0	11	0	4	0	6
ENSG00000168484	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158435	254	160	561	860	630	541	2158	275	225	223	441
ENSG00000162849	13	14	46	25	92	38	645	76	30	16	143
ENSG00000228845	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149243	12	3	48	25	57	26	283	24	17	11	64
ENSG00000184702	83	46	173	388	379	185	753	114	165	71	639
ENSG00000221156	0	0	4	4	4	1	7	4	2	0	3
ENSG00000184708	271	174	560	982	658	559	1446	245	301	216	569
ENSG00000184709	6	0	3	0	19	0	340	3	3	0	6
ENSG00000206811	4	5	158	60	43	3	36	78	7	3	117
ENSG00000163462	0	0	6	0	52	0	105	0	0	8	71
ENSG00000163463	268	168	251	791	306	531	1265	254	263	209	222
ENSG00000163464	0	11	17	23	0	14	107	0	9	30	0
ENSG00000163466	1143	928	2279	4441	2322	2370	8731	2518	876	1021	1199
ENSG00000163467	0	0	0	0	5	0	30	0	0	0	0
ENSG00000163468	742	441	1529	2716	2132	1517	9421	1232	528	665	1096
ENSG00000241869	0	0	0	0	3	0	0	3	0	0	7
ENSG00000206813	0	0	3	0	0	0	0	0	0	0	0
ENSG00000241868	6	0	5	7	11	0	2	11	0	0	2
ENSG00000162599	6037	2555	6543	15953	6288	5248	20091	3057	2753	3707	2090
ENSG00000162598	0	0	0	0	42	0	0	0	5	0	0
ENSG00000267731	30	27	39	61	181	29	68	22	23	17	54
ENSG00000272386	0	1	3	4	9	8	6	0	0	1	8
ENSG00000029364	246	655	1245	3225	2070	1078	5075	767	536	491	749
ENSG00000267732	0	0	0	0	5	0	0	0	0	0	0
ENSG00000267735	0	0	0	0	0	0	0	0	0	0	0
ENSG00000029363	1539	1012	3510	5044	5542	2499	8218	2072	1508	1082	2993
ENSG00000267737	0	0	0	0	0	0	13	0	4	0	0
ENSG00000162594	0	3	0	0	25	0	0	13	3	3	3
ENSG00000263609	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263608	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206817	0	0	0	0	0	0	0	0	0	0	0
ENSG00000118640	108	72	577	404	322	272	1714	432	56	86	323
ENSG00000221625	1	0	1	1	1	1	1	1	1	1	1
ENSG00000263603	0	0	11	20	13	0	8	8	0	0	72
ENSG00000263602	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263604	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263606	29	4	26	43	40	33	73	32	26	12	72
ENSG00000259169	24	10	57	120	77	76	300	29	16	18	44
ENSG00000253144	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253147	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201466	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253141	0	0	0	0	6	0	0	0	0	0	0
ENSG00000115073	396	242	923	1322	874	526	3310	632	421	327	763
ENSG00000253143	0	0	0	0	11	0	0	0	0	0	0
ENSG00000253142	0	0	0	0	0	0	11	0	0	0	11
ENSG00000259161	3	8	6	17	41	8	22	3	6	6	17
ENSG00000259160	0	0	0	2	0	0	0	3	2	0	0
ENSG00000259163	10	12	7	25	33	7	30	12	9	4	18
ENSG00000259162	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259165	14	3	52	86	107	27	111	31	37	9	73
ENSG00000253148	0	0	0	0	30	0	0	0	5	0	0
ENSG00000259167	0	0	3	8	19	3	4	6	4	0	19
ENSG00000277331	2	0	8	9	4	1	22	6	2	1	1
ENSG00000213853	1178	639	2130	3393	1761	1661	9263	846	785	715	1395
ENSG00000213851	0	0	0	0	9	0	0	0	3	0	3
ENSG00000258590	0	0	14	0	175	0	17	0	16	8	22
ENSG00000213857	1	0	3	3	3	0	0	0	0	0	9
ENSG00000213856	25	9	28	15	36	21	15	12	20	3	1
ENSG00000213854	0	0	0	0	13	0	3	0	0	0	0
ENSG00000258597	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213859	69	62	200	532	147	174	748	122	105	163	140
ENSG00000206979	0	0	1	1	1	1	3	1	0	0	1
ENSG00000229792	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225816	0	0	0	0	6	3	0	0	3	3	3
ENSG00000225814	0	0	0	0	16	0	3	0	3	0	0
ENSG00000225815	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225813	0	0	0	3	15	3	0	0	3	0	0
ENSG00000225811	0	0	0	0	0	0	0	0	0	0	0
