,SRR5962198,SRR5962199,SRR5962200,SRR5962201,SRR5962202,SRR5962203,SRR5962204,SRR5962205,SRR5962206,SRR5962207,SRR5962208,SRR5962209,SRR5962210,SRR5962211,SRR5962212,SRR5962213,SRR5962214,SRR5962215,SRR5962216,SRR5962217,SRR5962218,SRR5962219,SRR5962220,SRR5962221,SRR5962222,SRR5962223,SRR5962224,SRR5962225,SRR5962226,SRR5962227,SRR5962228,SRR5962229,SRR5962230,SRR5962231,SRR5962232,SRR5962233,SRR5962234,SRR5962235,SRR5962236,SRR5962237,SRR5962238,SRR5962239,SRR5962240,SRR5962241
ENSG00000253570,3,9,11,71,33,15,115,0,5,9,11,45,3,1,23,46,47,5,11,6,6,122,3,7,16,34,43,35,37,6,7,27,13,16,24,11,16,75,19,15,6,2,20,37
ENSG00000275578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000044012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
ENSG00000231857,0,0,7,11,16,0,0,0,8,0,0,0,0,0,30,0,6,0,43,0,0,0,0,0,0,0,14,40,19,5,0,0,7,0,0,0,12,14,8,0,16,0,30,19
ENSG00000231856,45,19,75,99,101,44,228,40,62,19,46,81,38,30,42,187,168,205,79,124,321,137,1,30,44,25,55,141,102,71,12,15,72,24,117,26,123,57,69,128,43,108,125,74
ENSG00000175946,0,0,0,0,21,13,19,0,0,0,0,6,0,8,64,25,8,0,9,0,17,0,0,0,0,30,30,114,17,0,6,38,9,6,8,6,43,72,24,6,57,0,14,96
ENSG00000231854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231852,0,0,3,29,52,6,70,3,15,26,41,39,7,52,53,209,42,28,26,0,91,20,0,167,91,45,192,330,35,43,71,105,44,35,70,156,227,116,87,251,398,99,193,94
ENSG00000231851,0,0,9,0,0,0,0,0,0,0,0,11,0,4,0,9,11,9,14,14,22,5,0,11,6,0,0,2,7,18,0,14,17,0,0,7,6,18,25,0,17,0,3,8
