,SRR5962198,SRR5962199,SRR5962200,SRR5962201,SRR5962202,SRR5962203,SRR5962204,SRR5962205,SRR5962206,SRR5962207,SRR5962208,SRR5962209,SRR5962210,SRR5962211,SRR5962212,SRR5962213,SRR5962214,SRR5962215,SRR5962216,SRR5962217,SRR5962218,SRR5962219,SRR5962220,SRR5962221,SRR5962222,SRR5962223,SRR5962224,SRR5962225,SRR5962226,SRR5962227,SRR5962228,SRR5962229,SRR5962230,SRR5962231,SRR5962232,SRR5962233,SRR5962234,SRR5962235,SRR5962236,SRR5962237,SRR5962238,SRR5962239,SRR5962240,SRR5962241
ENSG00000255070,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,3,0,0,0,3,0,9,3,0,0,0,3,0,3
ENSG00000168297,241,239,411,1176,675,384,1325,321,185,226,268,479,192,288,332,647,1561,888,883,1084,734,465,32,356,394,243,562,1134,647,534,364,237,672,145,771,348,550,425,629,1157,633,1474,847,245
ENSG00000266460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266461,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
ENSG00000266466,0,0,0,6,14,0,0,0,0,0,8,9,0,0,13,9,19,0,9,0,0,0,0,0,0,0,6,0,14,6,0,0,0,0,0,0,8,0,6,0,0,0,5,8
ENSG00000266467,3,0,18,8,23,0,17,8,0,3,18,14,2,1,16,21,22,11,26,14,52,3,0,15,5,6,8,39,16,13,17,8,35,3,12,0,13,9,20,9,35,16,39,22
ENSG00000266464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168291,555,272,1082,1499,601,839,4452,575,285,329,275,688,392,499,913,1419,2256,2095,1750,1775,1619,2421,74,570,1183,380,1353,2785,2320,2077,376,581,848,411,2141,796,1673,810,1065,2757,965,2416,972,1124
ENSG00000262558,0,0,0,15,5,7,7,3,11,0,0,9,4,3,22,15,11,13,10,3,17,0,3,6,8,11,9,11,12,0,0,9,12,19,6,0,7,27,0,0,6,26,26,17
ENSG00000212072,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0
ENSG00000212073,0,0,0,1,0,0,6,2,1,1,4,0,0,0,1,2,1,1,7,0,1,1,0,2,0,0,1,0,1,1,0,0,0,0,5,1,2,4,0,3,12,10,6,0
ENSG00000212070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ENSG00000212071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212076,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,3,2,1,1,2,1,0,1,1,1,1,2,1,2,1,3,2,0,2,1,1,1,1,1,2,2,3,0
ENSG00000262554,2,1,2,4,1,1,5,3,5,6,2,3,1,2,1,5,8,1,3,3,8,4,2,2,1,1,3,2,3,3,23,2,3,2,3,1,1,3,5,5,2,3,2,4
ENSG00000212075,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ENSG00000225108,14,5,44,33,24,14,59,16,4,5,46,38,19,10,33,149,35,65,6,12,87,47,5,19,30,26,30,83,48,15,9,9,59,21,22,28,44,17,58,74,45,32,152,53
ENSG00000225109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270593,0,0,0,0,0,0,1,0,0,0,0,3,0,0,11,1,2,0,0,0,0,0,0,0,11,0,0,9,5,0,3,6,0,2,0,0,2,3,0,3,0,0,0,8
ENSG00000225100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,9
ENSG00000225101,7,2,0,0,23,0,3,3,3,0,0,0,0,0,21,0,0,3,4,0,0,2,0,0,3,0,3,31,14,11,0,0,3,3,0,0,6,6,8,6,29,0,5,22
ENSG00000225102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233579,11,0,11,26,17,6,19,11,13,3,96,27,6,3,14,54,42,14,38,27,81,6,0,3,19,25,25,35,22,9,4,6,25,3,13,3,19,27,19,7,121,8,40,11
ENSG00000225105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
ENSG00000225106,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,6,0,0,0,0,16,24,0,0,0,0,5,31
ENSG00000225107,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,13,0,8,0,0,0,20
ENSG00000221489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000221488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
ENSG00000226455,0,0,0,0,2,0,6,5,0,0,0,0,10,0,0,6,0,2,11,0,12,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,13
ENSG00000226454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,8
ENSG00000149792,316,106,635,877,497,430,3003,442,205,194,299,532,377,661,492,371,2076,1588,868,816,1342,732,33,33,956,287,439,652,1818,2365,800,879,378,326,2212,1196,349,204,1721,2638,1326,1437,708,978
ENSG00000226450,0,0,7,12,34,0,0,0,0,0,76,0,0,0,28,39,28,12,39,0,57,3,0,11,14,14,12,49,38,16,0,0,5,0,0,0,32,28,28,7,22,0,42,51
ENSG00000141854,6,16,63,27,40,23,322,11,8,12,54,41,14,67,71,194,105,59,52,30,147,137,3,74,264,114,216,508,112,145,131,187,33,49,270,115,198,125,126,340,326,191,337,108
ENSG00000221484,0,0,3,0,3,0,0,0,0,1,0,0,1,0,0,0,2,2,1,0,2,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3
ENSG00000149798,198,203,343,1147,213,544,1146,177,487,290,150,388,43,211,177,164,1315,1422,975,1094,689,326,0,89,76,88,257,618,265,202,187,161,231,46,143,111,227,123,168,280,286,468,259,129
ENSG00000221486,1,1,2,4,0,0,3,5,1,0,2,2,0,0,5,0,3,1,5,0,3,3,0,1,1,2,4,2,7,2,3,2,3,0,8,0,0,1,2,0,2,0,8,11
ENSG00000212153,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
ENSG00000183055,28,15,45,55,54,35,82,75,29,13,251,71,19,7,56,213,162,67,273,95,282,32,7,23,18,24,82,121,145,122,18,47,110,5,59,27,48,53,130,51,75,61,159,25
ENSG00000183054,757,303,1174,1934,2080,870,2605,687,655,456,1710,1315,565,384,681,3247,3376,2043,3553,2181,4535,1884,57,853,1191,725,1371,3127,2123,1895,726,1296,2239,360,1886,684,1067,860,1760,1811,3041,3109,3947,1243
ENSG00000255076,0,0,0,0,2,0,0,0,0,0,6,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,6,7,0,0,0,0,0,0
ENSG00000251078,0,0,0,0,7,0,1,0,0,0,0,0,6,0,6,0,4,0,0,6,0,0,0,0,0,0,3,24,2,0,0,0,0,6,0,0,3,8,0,0,0,0,0,6
ENSG00000221628,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,7,10,0,0,0,0,0,13
ENSG00000250566,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4
ENSG00000273424,0,3,6,24,15,9,9,6,9,0,9,11,6,3,9,11,9,0,19,13,22,1,0,3,13,9,6,28,12,23,4,3,14,3,20,0,12,6,14,0,14,5,15,9
ENSG00000250564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8
ENSG00000250565,45,66,100,145,180,108,307,82,63,63,178,186,23,35,68,292,293,240,224,280,526,203,6,82,47,100,179,393,131,257,41,112,88,18,136,78,128,69,121,93,329,112,317,215
ENSG00000250562,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000250563,0,0,0,0,11,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,8,21,0,0,0,0,0,42
ENSG00000187961,24,3,37,56,50,17,184,16,20,8,149,55,10,24,68,199,90,93,90,29,120,85,9,64,93,44,114,189,112,116,57,68,82,10,71,62,96,51,177,56,202,101,188,92
ENSG00000250561,0,0,0,0,11,0,0,0,0,0,6,2,0,0,15,0,0,0,3,0,1,0,0,0,0,3,0,27,0,0,0,0,0,3,0,0,3,8,0,0,0,0,0,31
ENSG00000250568,6,3,20,7,25,10,36,25,12,8,20,20,13,13,18,34,50,29,51,19,49,12,0,13,11,15,52,90,31,9,8,17,31,17,23,4,125,14,22,44,43,50,33,8
ENSG00000250569,11,0,49,55,50,40,88,36,27,17,106,71,35,34,48,213,124,65,100,52,187,137,0,39,49,40,99,277,94,51,57,69,74,20,54,29,233,37,111,86,201,112,142,99
ENSG00000220685,3,0,6,6,17,3,4,6,6,3,11,9,0,3,9,13,15,11,12,0,31,8,0,12,6,14,14,38,13,11,8,12,21,11,6,6,27,25,3,3,18,9,17,14
ENSG00000162843,0,0,0,0,13,0,11,0,4,0,6,0,0,0,47,14,9,0,0,0,9,0,0,17,0,0,18,44,17,0,0,0,20,0,53,12,39,61,6,0,31,6,12,101
ENSG00000168484,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,17,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,5,29,0,0,0,0,0,66
ENSG00000158435,254,160,561,860,630,541,2158,275,225,223,441,378,206,490,573,1441,1646,1277,913,706,1454,1601,31,497,811,483,1370,2902,1180,1247,446,1015,917,211,1267,786,1703,810,1298,2042,1311,1781,1301,790
ENSG00000162849,13,14,46,25,92,38,645,76,30,16,143,62,43,25,145,229,210,52,201,41,271,110,27,408,259,323,2230,2809,415,1073,204,608,1129,464,1413,125,384,910,777,1173,3270,808,758,318
ENSG00000228845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149243,12,3,48,25,57,26,283,24,17,11,64,80,13,30,99,216,75,35,80,33,116,85,3,113,222,115,128,241,153,226,490,65,176,55,155,89,127,96,185,167,261,52,243,109
ENSG00000184702,83,46,173,388,379,185,753,114,165,71,639,300,100,165,274,578,823,246,451,172,495,522,0,193,329,473,352,317,576,439,423,367,516,210,297,224,401,244,607,302,927,473,833,450
ENSG00000221156,0,0,4,4,4,1,7,4,2,0,3,1,3,1,5,1,10,3,5,2,7,3,0,0,2,2,3,11,7,0,0,2,3,1,5,1,5,0,1,3,3,6,4,4
ENSG00000184708,271,174,560,982,658,559,1446,245,301,216,569,505,164,280,504,1119,1478,1304,1025,1118,1489,1071,0,249,530,453,1091,1697,944,752,409,532,708,193,502,372,760,242,696,788,1309,1155,1148,564
ENSG00000184709,6,0,3,0,19,0,340,3,3,0,6,3,6,11,6,102,11,11,11,0,230,73,0,91,6,47,46,104,51,51,19,41,40,17,149,60,3,1,144,95,63,72,27,22
ENSG00000206811,4,5,158,60,43,3,36,78,7,3,117,13,17,14,8,38,51,3,4,3,11,181,9,80,109,114,243,106,32,506,31,18,752,119,30,48,103,25,83,46,32,33,37,28
ENSG00000163462,0,0,6,0,52,0,105,0,0,8,71,9,0,56,131,136,23,27,46,0,85,12,0,144,61,87,49,418,114,81,20,172,51,33,23,127,172,171,76,77,251,102,51,171
ENSG00000163463,268,168,251,791,306,531,1265,254,263,209,222,342,100,477,407,797,1114,954,548,813,634,1240,0,298,476,255,1539,2388,1019,1212,480,1045,434,354,1254,673,1766,325,602,1125,1438,1500,481,360
ENSG00000163464,0,11,17,23,0,14,107,0,9,30,0,6,0,0,28,10,7,16,6,0,0,0,0,0,0,0,7,29,11,0,0,8,6,6,0,0,6,19,0,0,4,9,6,45
ENSG00000163466,1143,928,2279,4441,2322,2370,8731,2518,876,1021,1199,1801,638,1312,1325,3212,4532,4846,3834,4160,3415,3320,140,840,1657,1224,4458,8772,3839,5982,1277,2192,2455,1143,4315,1547,2350,2066,3247,7285,3073,6270,4024,1554
ENSG00000163467,0,0,0,0,5,0,30,0,0,0,0,4,0,4,13,26,7,7,8,0,18,5,0,11,12,7,18,77,28,31,11,9,22,0,0,10,56,7,37,19,47,23,24,36
ENSG00000163468,742,441,1529,2716,2132,1517,9421,1232,528,665,1096,1307,661,1899,3836,4780,4808,3480,2194,2351,3351,8152,152,1626,3152,1909,9963,9808,4352,4800,1672,6217,3563,1156,6773,3151,12094,4074,3669,6596,3417,4998,2781,4224
ENSG00000241869,0,0,0,0,3,0,0,3,0,0,7,0,0,0,4,3,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,3,2,7,12,0,0,0,3,15
ENSG00000206813,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,7
ENSG00000241868,6,0,5,7,11,0,2,11,0,0,2,6,0,0,14,11,15,3,6,0,12,10,0,5,9,0,3,11,13,10,0,11,3,2,9,0,3,19,10,0,10,10,3,9
ENSG00000162599,6037,2555,6543,15953,6288,5248,20091,3057,2753,3707,2090,3990,1820,3056,4003,9533,21001,15843,10551,15969,9465,4347,255,3412,4047,2176,7117,17948,6668,5139,3015,3598,5106,2013,8185,3142,6268,3846,4834,8626,6621,8988,4695,533
ENSG00000162598,0,0,0,0,42,0,0,0,5,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,15,54,12,0,0,0,0,13,0,0,11,82,0,0,0,0,0,93
ENSG00000267731,30,27,39,61,181,29,68,22,23,17,54,80,42,19,47,44,129,80,166,99,544,34,6,17,13,9,59,119,68,111,27,33,75,9,186,73,84,47,184,36,219,192,183,190
ENSG00000272386,0,1,3,4,9,8,6,0,0,1,8,10,3,0,21,11,20,9,14,0,33,3,0,2,0,0,4,15,0,8,0,0,4,0,3,0,2,3,20,3,15,17,28,3
ENSG00000029364,246,655,1245,3225,2070,1078,5075,767,536,491,749,747,625,1546,1196,3497,4739,3850,1900,2667,2750,3140,125,1698,2547,1712,2526,11846,4710,4247,1081,1338,3055,844,2558,2742,2536,1796,3418,4662,3526,4102,3709,1508
ENSG00000267732,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
ENSG00000267735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,14
ENSG00000029363,1539,1012,3510,5044,5542,2499,8218,2072,1508,1082,2993,2211,957,955,2643,6235,10108,6987,6556,6123,9525,2608,173,1782,4079,1672,5948,15498,6198,6347,1413,4495,5361,1232,7328,3409,4590,2174,6790,8822,5340,10020,6865,1807
ENSG00000267737,0,0,0,0,0,0,13,0,4,0,0,0,0,0,13,0,0,9,18,17,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,5,15,0,0,6,0,0,21
ENSG00000162594,0,3,0,0,25,0,0,13,3,3,3,0,0,0,21,11,8,3,25,0,13,0,0,0,3,0,2,46,3,22,3,6,3,3,6,2,3,30,6,14,8,9,35,32
ENSG00000263609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000263608,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,5,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3
ENSG00000206817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,3,0
ENSG00000118640,108,72,577,404,322,272,1714,432,56,86,323,198,225,370,424,839,652,426,554,161,1034,2377,78,385,557,380,1495,3031,1624,2182,539,1097,982,418,1636,965,1124,390,1193,2711,1033,1091,995,1355
ENSG00000221625,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000263603,0,0,11,20,13,0,8,8,0,0,72,16,8,7,41,34,6,19,26,6,33,21,0,8,40,28,17,41,20,15,23,19,46,18,17,9,25,18,23,14,43,20,72,44
ENSG00000263602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000263604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8
ENSG00000263606,29,4,26,43,40,33,73,32,26,12,72,43,23,24,67,111,133,68,164,123,200,26,3,35,29,8,53,261,108,81,27,65,76,23,63,25,51,64,80,59,123,113,123,34
ENSG00000259169,24,10,57,120,77,76,300,29,16,18,44,54,15,60,97,158,209,151,51,91,131,133,4,48,178,81,175,389,134,92,103,189,111,70,110,71,209,127,132,251,94,134,94,54
ENSG00000253144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000253141,0,0,0,0,6,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,5,0,0,0,31,0,6,0,0,0,27
ENSG00000115073,396,242,923,1322,874,526,3310,632,421,327,763,853,294,516,438,2096,2748,2233,1145,1317,1678,2314,50,497,687,466,1139,1927,1577,1540,430,866,979,301,1710,729,1535,709,1353,2138,1135,1549,1429,1223
ENSG00000253143,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ENSG00000253142,0,0,0,0,0,0,11,0,0,0,11,0,0,0,13,16,0,0,0,0,0,0,0,0,0,0,6,19,12,9,8,19,0,0,0,0,0,11,0,0,11,0,0,22
ENSG00000259161,3,8,6,17,41,8,22,3,6,6,17,17,6,9,27,28,43,14,29,1,63,3,3,0,6,6,15,96,23,12,8,5,11,0,24,9,29,31,43,17,32,54,74,58
ENSG00000259160,0,0,0,2,0,0,0,3,2,0,0,0,3,0,0,3,3,0,3,0,6,0,0,0,3,0,1,11,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,2
ENSG00000259163,10,12,7,25,33,7,30,12,9,4,18,30,6,0,19,22,32,25,60,36,37,10,0,14,3,17,23,70,29,36,21,14,30,11,24,7,18,23,17,14,37,26,53,22
ENSG00000259162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,4,11,21,0,0,0,0,24
ENSG00000259165,14,3,52,86,107,27,111,31,37,9,73,72,38,22,56,182,156,119,173,70,218,42,6,71,53,41,84,353,134,64,43,49,124,19,84,41,77,67,182,95,222,158,187,33
ENSG00000253148,0,0,0,0,30,0,0,0,5,0,0,0,0,0,28,0,8,0,11,19,19,0,0,0,0,0,6,16,6,11,0,0,0,0,0,0,13,38,0,0,0,6,0,37
ENSG00000259167,0,0,3,8,19,3,4,6,4,0,19,7,3,3,8,8,42,17,19,9,22,0,0,9,3,0,11,17,33,3,5,0,14,0,9,8,19,6,11,6,26,9,50,2
ENSG00000277331,2,0,8,9,4,1,22,6,2,1,1,5,3,0,2,9,3,6,2,3,4,9,0,0,1,0,3,5,29,8,0,1,1,0,3,2,2,7,2,3,0,10,6,1
ENSG00000213853,1178,639,2130,3393,1761,1661,9263,846,785,715,1395,1532,581,2694,3587,7533,7420,4549,2866,2977,4861,1799,113,2337,4452,2772,9405,20428,4163,3330,1797,6940,6920,909,3547,3579,6967,3617,3660,11282,2602,6639,2515,1111
ENSG00000213851,0,0,0,0,9,0,0,0,3,0,3,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,3,0,0,19,7,0,0,0,0,0,20
ENSG00000258590,0,0,14,0,175,0,17,0,16,8,22,19,0,0,81,44,57,9,63,14,32,9,0,0,14,0,117,78,61,0,10,8,0,16,0,6,86,151,36,0,72,66,19,98
ENSG00000213857,1,0,3,3,3,0,0,0,0,0,9,6,0,3,17,6,6,0,0,3,1,0,0,0,0,3,3,11,6,0,3,0,0,0,2,0,11,11,0,0,3,0,15,14
ENSG00000213856,25,9,28,15,36,21,15,12,20,3,1,9,17,18,70,42,85,21,19,31,25,21,3,8,30,6,30,45,11,46,6,40,29,10,17,17,17,40,27,38,32,31,27,14
ENSG00000213854,0,0,0,0,13,0,3,0,0,0,0,3,0,0,15,17,5,0,0,0,3,3,0,0,3,0,0,23,19,6,3,0,6,3,0,0,6,14,0,0,0,24,3,28
ENSG00000258597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,0
ENSG00000213859,69,62,200,532,147,174,748,122,105,163,140,208,51,149,209,357,572,579,310,405,374,158,11,103,131,161,311,673,226,171,168,251,257,136,308,113,246,232,226,591,287,496,461,131
ENSG00000206979,0,0,1,1,1,1,3,1,0,0,1,1,0,0,1,2,1,1,7,0,1,2,1,0,0,0,1,7,8,7,1,1,1,0,2,0,4,1,1,5,1,1,4,1
ENSG00000229792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ENSG00000225816,0,0,0,0,6,3,0,0,3,3,3,0,0,0,3,8,3,6,0,0,3,0,0,3,0,0,3,8,16,0,0,0,0,0,0,0,6,3,0,0,3,0,0,13
ENSG00000225814,0,0,0,0,16,0,3,0,3,0,0,0,3,6,13,3,3,0,0,0,0,8,0,3,0,0,3,11,0,0,0,0,0,3,3,0,14,14,0,0,3,3,0,5
ENSG00000225815,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,11,6,0,0,0,19,0,0,0,0,0,18
ENSG00000225813,0,0,0,3,15,3,0,0,3,0,0,3,0,0,33,3,8,0,0,0,0,0,0,0,0,0,5,71,37,0,0,0,0,11,0,0,30,113,0,0,0,0,32,112
ENSG00000225811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0
ENSG00000206846,0,0,2,0,2,0,0,3,0,0,3,0,0,0,0,0,3,1,5,0,3,0,0,0,3,0,2,8,5,0,0,1,1,0,0,3,0,0,0,4,5,1,0,4
ENSG00000225818,0,0,0,0,12,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,21
ENSG00000225819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ENSG00000229306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8
ENSG00000229307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000229305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229303,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,11,2,0,0,0,0,0,0,0,6,5,2,1,0,0,0,9
ENSG00000229300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
ENSG00000238485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5,0,0,5,0,3
ENSG00000269911,3,0,8,0,14,2,10,3,5,0,19,11,0,2,27,41,9,6,15,2,23,17,0,11,18,15,6,43,27,9,18,6,19,0,10,7,36,62,21,9,46,14,26,58
ENSG00000238482,0,2,14,12,12,4,18,1,1,3,0,13,2,3,2,7,6,11,11,0,17,5,0,4,0,0,8,14,41,23,3,4,5,3,28,4,1,12,12,7,10,7,24,7
ENSG00000229308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
